code,name,weight,close,pe,pb,mv_yi,dv,roe,or_yoy
600519.SH,贵州茅台,11.061,1458.49,22.1869,7.4658,18264.2,3.5409,10.5687,6.538
600887.SH,伊利股份,9.885,25.25,19.9383,2.998,1597.2,6.7327,19.0448,1.8117
000858.SZ,五粮液,9.864,101.27,13.8248,2.967,3930.9,5.6749,15.6003,-10.2631
002714.SZ,牧原股份,8.471,43.14,25.4624,2.8871,2490.5,3.4308,-1.4728,-17.103
300498.SZ,温氏股份,6.578,15.75,47.7462,2.6489,1048.0,3.1648,-2.5963,0.3411
000568.SZ,泸州老窖,5.728,102.63,11.9492,3.1683,1510.7,5.7976,22.1749,-4.8392
600809.SH,山西汾酒,5.191,141.95,14.1409,4.3694,1731.7,2.5361,32.926,7.5179
603288.SH,海天味业,5.086,39.92,33.1897,5.9027,2336.0,3.5512,19.4904,7.318
605499.SH,东鹏饮料,3.175,199.96,25.5774,5.8917,1129.3,1.2503,51.6141,31.7979
002311.SZ,海大集团,3.081,47.13,15.4396,3.1953,775.5,2.789,16.8481,13.2376
002304.SZ,洋河股份,2.273,49.87,36.2986,1.547,751.3,4.6461,7.938,-34.257
000895.SZ,双汇发展,2.195,29.2,19.819,4.7358,1011.7,4.7945,24.0324,-0.4822
600298.SH,安琪酵母,1.826,39.69,22.305,2.8653,344.5,1.3861,13.5166,10.0805
002157.SZ,正邦科技,1.673,3.16,,2.4898,292.3,,0.0714,82.5798
600873.SH,梅花生物,1.671,10.15,11.9588,1.7337,284.6,4.216,0.7198,-4.5135
600600.SH,青岛啤酒,1.631,61.68,18.3395,2.7454,841.4,3.5668,15.3681,1.0444
603369.SH,今世缘,1.474,26.65,11.5565,2.0128,332.3,4.5028,15.9507,-10.6619
603345.SH,安井食品,1.424,98.8,24.226,2.1255,329.3,2.4599,9.5569,7.0469
000729.SZ,燕京啤酒,1.373,12.61,19.9831,2.2573,355.4,2.2998,1.6957,7.0627
000876.SZ,新希望,1.373,8.58,35.7611,1.5923,386.3,0.2812,2.9561,4.267
300999.SZ,金龙鱼,1.271,27.68,47.5974,1.5562,1500.7,0.401,3.3159,2.8732
000596.SZ,古井贡酒,1.25,109.5,12.2347,2.3215,578.8,5.4795,15.8033,-13.8656
600737.SH,中粮糖业,1.123,14.83,23.215,2.8126,317.2,2.7647,7.1531,-10.6039
603156.SH,养元饮品,1.123,32.34,25.2837,4.5343,407.6,5.7514,8.5341,37.5006
603605.SH,珀莱雅,1.074,60.84,16.3423,3.7907,240.9,3.2541,5.8449,-2.2884
600132.SH,重庆啤酒,1.02,54.17,21.2989,19.0389,262.2,4.0613,96.0801,0.5277
002385.SZ,大北农,1.013,3.87,,2.1722,166.4,0.7716,-7.9188,1.2235
600598.SH,北大荒,0.883,15.91,24.2525,3.5339,282.8,3.4569,14.7613,-2.052
300146.SZ,汤臣倍健,0.829,10.8,23.3588,1.7643,182.7,4.126,3.5502,4.3046
002299.SZ,圣农发展,0.818,18.63,15.591,2.0185,231.6,2.6683,2.2299,25.4648
601118.SH,海南橡胶,0.801,6.72,99.6052,2.9663,287.6,0.1622,-2.7669,9.4728
603589.SH,口子窖,0.769,24.77,37.8381,1.3807,148.2,5.2524,3.111,-24.024
002568.SZ,百润股份,0.661,16.84,25.2695,3.6941,175.4,1.7749,11.4782,-4.8896
300957.SZ,贝泰妮,0.598,38.38,45.14,2.7309,162.6,2.3322,4.4829,-13.776
688363.SH,华熙生物,0.586,42.75,70.5055,2.9061,205.9,0.2555,4.2035,-21.8159
301498.SZ,乖宝宠物,0.455,55.08,37.2292,4.6486,220.6,0.9068,2.6313,11.0803
600299.SH,安迪苏,0.388,13.92,37.1324,2.1754,428.7,1.1171,6.5216,10.9205
002461.SZ,珠江啤酒,0.308,9.74,23.8524,1.9533,215.6,1.7454,1.6099,5.8581
